Time,Time Code,Country Name,Country Code,"Mortality rate, under-5 (per 1,000 live births) [SH.DYN.MORT]","Immunization, measles (% of children ages 12-23 months) [SH.IMM.MEAS]"
1985,YR1985,Sub-Saharan Africa,SSF,..,33.5812665754529
1985,YR1985,North America,NAC,..,97
1985,YR1985,World,WLD,..,45.6037288803623
1986,YR1986,East Asia & Pacific,EAS,..,57.0586803521081
1986,YR1986,Europe & Central Asia,ECS,..,..
1986,YR1986,Latin America & Caribbean,LCN,..,61.0586867516119
1986,YR1986,Middle East & North Africa,MEA,..,64.1437491539973
1986,YR1986,South Asia,SAS,..,13.5128899034917
1986,YR1986,Sub-Saharan Africa,SSF,..,39.973997728315
1986,YR1986,North America,NAC,..,97
1986,YR1986,World,WLD,..,45.5111604143504
1987,YR1987,East Asia & Pacific,EAS,..,67.8872502341014
1987,YR1987,Europe & Central Asia,ECS,..,..
1987,YR1987,Latin America & Caribbean,LCN,..,60.2641588243484
1987,YR1987,Middle East & North Africa,MEA,..,66.3813292921813
1987,YR1987,South Asia,SAS,..,25.0063503998894
1987,YR1987,Sub-Saharan Africa,SSF,..,44.3807453695183
1987,YR1987,North America,NAC,..,80.907454516899
1987,YR1987,World,WLD,..,52.8828919589834
1988,YR1988,East Asia & Pacific,EAS,..,82.3659443496111
1988,YR1988,Europe & Central Asia,ECS,..,..
1988,YR1988,Latin America & Caribbean,LCN,..,65.8258778215582
1988,YR1988,Middle East & North Africa,MEA,..,78.2558082156772
1988,YR1988,South Asia,SAS,..,32.5733782530999
1988,YR1988,Sub-Saharan Africa,SSF,..,49.2171841075233
1988,YR1988,North America,NAC,..,96.8253950591667
1988,YR1988,World,WLD,..,62.7101620582454
1989,YR1989,East Asia & Pacific,EAS,..,85.5522352975654
1989,YR1989,Europe & Central Asia,ECS,..,..
1989,YR1989,Latin America & Caribbean,LCN,..,69.5854305395057
1989,YR1989,Middle East & North Africa,MEA,..,80.874014500184
1989,YR1989,South Asia,SAS,..,44.1847677336153
1989,YR1989,Sub-Saharan Africa,SSF,..,55.7818316827271
1989,YR1989,North America,NAC,..,93.3710062139369
1989,YR1989,World,WLD,..,68.3547361834825
1990,YR1990,East Asia & Pacific,EAS,56.8,89.4425347060659
1990,YR1990,Europe & Central Asia,ECS,30.9,..
1990,YR1990,Latin America & Caribbean,LCN,54.8,75.9339324103451
1990,YR1990,Middle East & North Africa,MEA,65.4,83.1685040029308
1990,YR1990,South Asia,SAS,129.4,55.9756600132649
1990,YR1990,Sub-Saharan Africa,SSF,180.5,57.2696648667665
1990,YR1990,North America,NAC,11,89.9104322768449
1990,YR1990,World,WLD,93.2,73.6188076391362
1991,YR1991,East Asia & Pacific,EAS,55.6,85.9824370126094
1991,YR1991,Europe & Central Asia,ECS,30.2,..
1991,YR1991,Latin America & Caribbean,LCN,52.5,80.5540472653158
1991,YR1991,Middle East & North Africa,MEA,62.7,82.7463938511084
1991,YR1991,South Asia,SAS,125.8,46.7421737347453
1991,YR1991,Sub-Saharan Africa,SSF,178.9,53.9348449858594
1991,YR1991,North America,NAC,10.6,87.4420429915082
1991,YR1991,World,WLD,92,69.7488380595396
1992,YR1992,East Asia & Pacific,EAS,54.2,82.3738346504445
1992,YR1992,Europe & Central Asia,ECS,29.7,81.3592437809591
1992,YR1992,Latin America & Caribbean,LCN,50.1,82.7115347659439
1992,YR1992,Middle East & North Africa,MEA,60.2,84.2378114386023
1992,YR1992,South Asia,SAS,122.2,52.9036143848329
1992,YR1992,Sub-Saharan Africa,SSF,177.3,50.6983124341746
1992,YR1992,North America,NAC,10.3,83.9923253313864
1992,YR1992,World,WLD,90.8,69.905091162689
1993,YR1993,East Asia & Pacific,EAS,52.6,78.8285486788678
1993,YR1993,Europe & Central Asia,ECS,29.2,83.2322255615384
1993,YR1993,Latin America & Caribbean,LCN,47.7,82.0587271540723
1993,YR1993,Middle East & North Africa,MEA,57.8,84.6611268947274
1993,YR1993,South Asia,SAS,118.7,59.3283639458178
1993,YR1993,Sub-Saharan Africa,SSF,175.8,51.4395153075415
1993,YR1993,North America,NAC,9.9,85.0867635796077
1993,YR1993,World,WLD,89.6,70.517807355859
1994,YR1994,East Asia & Pacific,EAS,50.9,76.0821765146133
1994,YR1994,Europe & Central Asia,ECS,28.4,82.6870826627214
1994,YR1994,Latin America & Caribbean,LCN,45.4,82.5089144594268
1994,YR1994,Middle East & North Africa,MEA,55.4,84.3825174222411
1994,YR1994,South Asia,SAS,115.3,65.9450736819654
1994,YR1994,Sub-Saharan Africa,SSF,175.1,55.0350580662912
1994,YR1994,North America,NAC,9.6,89.7246185866483
1994,YR1994,World,WLD,88.6,72.0192654756085
1995,YR1995,East Asia & Pacific,EAS,49.1,79.0072278461227
1995,YR1995,Europe & Central Asia,ECS,27.6,83.9251603764204
1995,YR1995,Latin America & Caribbean,LCN,43.1,86.1665933380707
1995,YR1995,Middle East & North Africa,MEA,53.1,85.4239589172847
1995,YR1995,South Asia,SAS,111.8,69.0095524678076
1995,YR1995,Sub-Saharan Africa,SSF,172.3,54.6302279555597
1995,YR1995,North America,NAC,9.2,88.7204781285919
1995,YR1995,World,WLD,87.1,73.8874098018132
1996,YR1996,East Asia & Pacific,EAS,47.4,83.392129898685
1996,YR1996,Europe & Central Asia,ECS,26.5,86.1405912566903
1996,YR1996,Latin America & Caribbean,LCN,40.9,84.1139871575386
1996,YR1996,Middle East & North Africa,MEA,50.8,87.4910798881674
1996,YR1996,South Asia,SAS,108.2,64.1811194116347
1996,YR1996,Sub-Saharan Africa,SSF,169,54.2954276242621
1996,YR1996,North America,NAC,9,91.5378477508635
1996,YR1996,World,WLD,85.4,73.3764427887335
1997,YR1997,East Asia & Pacific,EAS,45.6,82.5839433902263
1997,YR1997,Europe & Central Asia,ECS,25.4,88.0527410886305
1997,YR1997,Latin America & Caribbean,LCN,38.8,88.6977833071107
1997,YR1997,Middle East & North Africa,MEA,48.7,86.9783408671447
1997,YR1997,South Asia,SAS,104.6,56.6981293998923
1997,YR1997,Sub-Saharan Africa,SSF,166.2,54.071783296475
1997,YR1997,North America,NAC,8.7,91.4386393272589
1997,YR1997,World,WLD,83.7,71.5992397121146
1998,YR1998,East Asia & Pacific,EAS,43.7,83.0341530182246
1998,YR1998,Europe & Central Asia,ECS,24.2,88.043274205027
1998,YR1998,Latin America & Caribbean,LCN,37.1,90.9795263431211
1998,YR1998,Middle East & North Africa,MEA,46.6,90.8254077356118
1998,YR1998,South Asia,SAS,101,55.0586695872124
1998,YR1998,Sub-Saharan Africa,SSF,162.8,52.420163009124
1998,YR1998,North America,NAC,8.6,92.3436886027378
1998,YR1998,World,WLD,81.8,71.2312226727913
1999,YR1999,East Asia & Pacific,EAS,41.8,83.8408853311181
1999,YR1999,Europe & Central Asia,ECS,22.9,89.4393167115483
1999,YR1999,Latin America & Caribbean,LCN,35,92.2170843790829
1999,YR1999,Middle East & North Africa,MEA,44.6,90.6254417023211
1999,YR1999,South Asia,SAS,97.4,57.7691725392022
1999,YR1999,Sub-Saharan Africa,SSF,158.3,50.1172490940371
1999,YR1999,North America,NAC,8.4,92.3358844488929
1999,YR1999,World,WLD,79.5,71.7830865366539
2000,YR2000,East Asia & Pacific,EAS,39.7,83.7409013216165
2000,YR2000,Europe & Central Asia,ECS,21.7,90.7361822679587
2000,YR2000,Latin America & Caribbean,LCN,33,93.5840571875457
2000,YR2000,Middle East & North Africa,MEA,42.6,90.7448245110637
2000,YR2000,South Asia,SAS,93.8,57.8842276637121
2000,YR2000,Sub-Saharan Africa,SSF,153.7,52.5126328622928
2000,YR2000,North America,NAC,8.3,91.4105422989135
2000,YR2000,World,WLD,77.1,72.3093276793902
2001,YR2001,East Asia & Pacific,EAS,37.6,84.3015362785297
2001,YR2001,Europe & Central Asia,ECS,20.4,91.6889087431238
2001,YR2001,Latin America & Caribbean,LCN,31.3,94.7486921512886
2001,YR2001,Middle East & North Africa,MEA,40.8,89.926990771916
2001,YR2001,South Asia,SAS,90.2,59.3515679573146
2001,YR2001,Sub-Saharan Africa,SSF,148.5,52.7957203642368
2001,YR2001,North America,NAC,8.2,91.3200445399946
2001,YR2001,World,WLD,74.5,72.9271372870745
2002,YR2002,East Asia & Pacific,EAS,35.4,83.8976563101811
2002,YR2002,Europe & Central Asia,ECS,19.3,90.9186064023441
2002,YR2002,Latin America & Caribbean,LCN,29.7,93.538368951063
2002,YR2002,Middle East & North Africa,MEA,39,89.0335271446657
2002,YR2002,South Asia,SAS,86.8,58.4751167225765
2002,YR2002,Sub-Saharan Africa,SSF,143,54.0604887716105
2002,YR2002,North America,NAC,8.1,91.31308066291
2002,YR2002,World,WLD,71.7,72.5034201607242
2003,YR2003,East Asia & Pacific,EAS,33.2,84.5677519774503
2003,YR2003,Europe & Central Asia,ECS,18.1,90.378220917396
2003,YR2003,Latin America & Caribbean,LCN,28.2,93.9569700431323
2003,YR2003,Middle East & North Africa,MEA,37.2,88.6893842144476
2003,YR2003,South Asia,SAS,83.5,61.8992116095515
2003,YR2003,Sub-Saharan Africa,SSF,137.4,56.6231903046974
2003,YR2003,North America,NAC,8,93.1537716711822
2003,YR2003,World,WLD,69,74.1299109392311
2004,YR2004,East Asia & Pacific,EAS,32.1,86.360733528479
2004,YR2004,Europe & Central Asia,ECS,17.1,91.4321062351663
2004,YR2004,Latin America & Caribbean,LCN,26.9,93.208769352001
2004,YR2004,Middle East & North Africa,MEA,35.6,88.8548027000852
2004,YR2004,South Asia,SAS,80.4,65.5791669571199
2004,YR2004,Sub-Saharan Africa,SSF,131.8,58.6594974824011
2004,YR2004,North America,NAC,7.9,93.0761454625203
2004,YR2004,World,WLD,66.5,75.9925246041148
2005,YR2005,East Asia & Pacific,EAS,29.3,86.3909023423918
2005,YR2005,Europe & Central Asia,ECS,16.1,93.0363585812511
2005,YR2005,Latin America & Caribbean,LCN,25.7,92.8270054058845
2005,YR2005,Middle East & North Africa,MEA,34,88.843959465851
2005,YR2005,South Asia,SAS,77.2,69.0332633128632
2005,YR2005,Sub-Saharan Africa,SSF,126.2,60.4175406719121
2005,YR2005,North America,NAC,7.8,92.1523053017917
2005,YR2005,World,WLD,63.5,77.3546114972581
2006,YR2006,East Asia & Pacific,EAS,27.5,90.1884561779328
2006,YR2006,Europe & Central Asia,ECS,15.3,94.4223318141722
2006,YR2006,Latin America & Caribbean,LCN,24.6,94.335324470811
2006,YR2006,Middle East & North Africa,MEA,32.5,88.7275569771596
2006,YR2006,South Asia,SAS,74.1,69.3421520168722
2006,YR2006,Sub-Saharan Africa,SSF,120.8,63.0664726448591
2006,YR2006,North America,NAC,7.7,92.0752215893489
2006,YR2006,World,WLD,60.9,79.1568021308476
2007,YR2007,East Asia & Pacific,EAS,25.9,89.6682970025339
2007,YR2007,Europe & Central Asia,ECS,14.5,94.7134149476647
2007,YR2007,Latin America & Caribbean,LCN,23.5,93.87901762363
2007,YR2007,Middle East & North Africa,MEA,31.1,88.9336007788229
2007,YR2007,South Asia,SAS,71.1,70.261139944117
2007,YR2007,Sub-Saharan Africa,SSF,115.5,65.3522068058247
2007,YR2007,North America,NAC,7.6,92.1569860550267
2007,YR2007,World,WLD,58.3,79.687600103924
2008,YR2008,East Asia & Pacific,EAS,25.2,91.9143841295103
2008,YR2008,Europe & Central Asia,ECS,13.7,94.7655516287685
2008,YR2008,Latin America & Caribbean,LCN,22.6,95.1267913852011
2008,YR2008,Middle East & North Africa,MEA,29.8,88.9733534481667
2008,YR2008,South Asia,SAS,68.2,71.8579066687682
2008,YR2008,Sub-Saharan Africa,SSF,110.4,67.4318795633413
2008,YR2008,North America,NAC,7.5,92.0804083579769
2008,YR2008,World,WLD,56,81.1934237083147
2009,YR2009,East Asia & Pacific,EAS,23.2,92.8593944916369
2009,YR2009,Europe & Central Asia,ECS,13.1,93.627371042366
2009,YR2009,Latin America & Caribbean,LCN,21.8,94.0974605339315
